CaseID,weight,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q18_Refused,Q19,Q20,Q21,Q22,Q24,Q26,Q27,Q28,Q28_Refused,Q29_a,Q29_b,Q29_c,Q29_d,Q29_e,Q29_f,Q29_g,Q30,Q30_Refused,Q31,Q32_a,Q32_b,Q32_c,Q32_d,Q32_e,Q32_f,Q32_g,Q32_h,Q32_i,Q32_j,Q32_k,Q33,Q33_Refused,Q34,Q34_Refused,Q35_a,Q35_b,Q35_c,Q35_d,Q35_e,Q35_f,Q35_g,Q35_h,Q35_i,Q35_j,Q36,Q36_Refused,Q37_a,Q37_b,Q37_c,Q37_d,Q37_e,Q37_f,Q37_g,PARTY,PARTY_Text,PARTYLN,IDEO,TP,PPAGE,ppagect4,PPEDUC,PPEDUCAT,PPETHM,PPGENDER,PPHHHEAD,PPHHSIZE,PPHOUSE,PPINCIMP,PPMARIT,PPMSACAT,PPRENT,PPT01,PPT25,PPT612,PPT1317,PPT18OV,PPWORK
184,.5176,3,3,3,3,3,6, ,4,2,4,1,1,2,2,1,1,"Every citizen should have the right to their own privacy inside there own homes and who they talk with. I feel this gives the government too much control.  Innocent people could be arrested jailed for what the government decides is not right, especially when it comes to a person's religious faith. I agree it is good for specific situations regarding terrorists and people who may be a threat to this country and its citizens.", , ,2,1,1,1,1,1,"Information could be misinterpreted and be used against someone who has religious or moral beliefs contrary to what the government feels is ""correct"" and people may be considered a threat to the country who are not a threat.", , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,2,1, , ,1,1,47,3,11,3,1,2,1,4,1,13,1,0,1,0,0,2,0,2,1
185,1.7247,1,1,1,1,4,4,3,2,1,1,1,1,2,2,1,2,I don't have enough faith in our government to use the information justly and fairly., ,2,2,3,1,2,2,1,"Again, I do not have enough faith that the government will use the information justly or fairly.", ,4,3,5,4,4,4,3,I haven't changed it much simply because I don't feel it's worth the effort., ,4,3,3,3,1,3,3,3,3,3,3,3,N/A, ,I haven't changed anything except changing the security on my social media and that was more for personal reasons., ,3,4,4,3,4,4,1,4,4,3,For personal reasons., ,1,2,1,1,1,2,2,3, ,2,3,2,61,4,14,4,1,1,1,3,1,18,1,1,1,0,0,0,1,2,1
186,1.7525,1,3,1,3,4,6, ,4,1,1,1,2,2,2,2,2,IT'S ALL ABOUT PRIVACY.  IT IS VERY UNCOMFORTABLE AND SOMEWHAT FRUSTRATED ., ,2,1,2,2,1,2,1,IT SEEMS THAT WE DON'T HAVE ANY FREEDOM IN COMMUNICATIONS AT ALL.  UNITED STATES IS A FREE COUNTRY AND I JUST DON'T FEEL COMFORTABLE AT ALL ABOUT EMAILING CALLING OR TEXT MESSAGING., ,4,4,4,4,4,5,4, , ,4,3,3,2,2,3,3,4,4,4,3,3, ,99,"I DIDN'T CHANGE A LOT OF MY BEHAVIORS OR ACTIVITIES.  I DON'T HAVE ANYTHING TO HIDE, I JUST DON'T FEEL COMFORTABLE .", ,4,4,4,2,4,4,3,4,4,5,I DIDN'T ADOPT OR CONSIDER USING ANY SPECIAL TOOLS OR STRATEGIES TO PROTECT MY PRIVACY.  I JUST CONCERN ABOUT MY BANK ACCOUNTS AND CREDIT CARDS, ,1,1,1,1,1,1,1,3, ,2,3,3,66,4,10,3,3,2,1,2,1,12,1,1,1,0,0,0,0,2,5
188,3.1027,3,6,3,3,3,6, ,6,2,2,1,1,1,1,1,3,"Just don't know much about this, therefore not too concerned.", ,1,1,3,4,3,5,4, , ,4,5,4,4,5,5,4, , ,3,3,3,3,3,3,3,4,4,4,4,3,I have not.  I mostly do my surveys and e-mail back and forth to my children., , , ,5,4,4,3,4,4,3,4,4,3, , ,1,1,1,1,1,1,1,2, , ,2,2,84,4,9,2,1,2,1,1,1,9,2,1,1,0,0,0,0,1,5
196,.2896,1,2,1,1,3,2,2,1,1,1,1,2,2,2,2,1,"What is going on is basically demonstrating that privacy does  ot exist. The government is taking liberty on its citizens and others under the pretext of security and private companies appear to know everything about us (see credit reporting companies). Even health car information, supposed to be very private, somehow becomes public to some extent the minute you expect an insuarnce company to reimburse some medical spending.", ,2,2,1,1,1,1,1,"There is no privacy at all and the potential for abuse of the data about me out there is real. We have no idea who truly has access to what data. This could be used to deny insurance coverage, deny jobs... who knows, sky is the limit... not to mention political abuse (Watregate did take place in this country and they had much less data available then!!!).", ,4,4,4,4,4,4,4, , ,3,3,3,3,3,3,3,3,3,3,3,3,I have not made any changes at all to any of my communication and internet habits., , , ,3,3,3,3,3,4,2,4,4,2,"I have not made any changes at this point. At this point, I do not feel expert enough to know what to do to prtect my self and to know that the protection chosen is effective (technology changes very fast).", ,1,1,1,1,1,2,2,2, , ,5,2,50,3,13,4,1,1,1,4,1,19,1,1,1,0,0,0,1,3,1
197,.1253,1,3,1,1,1,1,2,1,2,2,1,2,2,2,2,1,4th Amendment Right to Privacy is violated. Only those of potential threat whom the government has gotten permission from the courts to monitor should be monitored., ,2,2,2,2,2,2,2,"If they're monitoring my activity, my 4th Amendment Right is being violated. And, I don't trust the government to keep data secure from hackers.", ,4,4,4,4,4,4,4, , ,4,3,3,3,3,3,3,3,3,3,3,3,"I've made no changes. I'm not worried that anything I do is illegal or terrorist-like so I doubt I'm targeted at all. I just don't like that the government can monitor anyone, anytime, for any reason.", , , ,3,4,3,3,4,3,3,3,3,3, , ,2,2,2,2,2,2,2,3, ,1,1,3,44,2,12,4,1,2,1,6,1,14,1,1,1,0,0,0,2,4,2
200,.4505,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,"The government doesn't care about what websites i visit if i only go to legitimate sites.  If i go to anti US sites, then id fully expect to be monitored.", ,1,1,3,3,3,3,3, , ,4,4,4,4,4,4,4, , ,1,2,2,2,2,2,1,1,1,4,1,1,Nope, ,I don't have as much time., ,1,3,3,1,3,2,1,3,3,1,No reason., ,1,1,1,1,1,1,1,1, , ,1,1,37,2,13,4,1,1,1,5,1,14,1,1,1,0,0,2,1,2,1
202,.7713,1,1,1,1,2,6, ,2,1,2,1,1,2,2,2,2,I feel that the government will and does abuse the system. They do what ever they want and that is unacceptable. They should have to get warrant from the supreme courts to monitor anyone., ,2,1,2,1,1,2,1,What I say or text too someone else is none of the governments business. I feel the government will take thing that someone text or says and use it in a different meaning against you., ,1,2,5,2,2,1,2,Its my right to have privacy. And the government is taking that right away.. Unacceptable., ,3,1,3,1,1,1,1,1,1,4,1,1, ,99,Because the government is slowly taking my right to be free away., ,2,4,3,1,4,4,1,5,5,5,I want things to be private., ,1,2,1,1,1,2,2,3, ,1,3,3,41,2,10,3,1,1,1,3,4,11,3,0,1,0,0,1,1,1,1
204,.1951,1,1,1,1,1,1,2,1,1,2,1,1,1,2,2,2,"More people that have access to accounts, the greater the possibility of compromise of personal identification data.", ,2,1,3,3,3,3,3, , ,4,4,4,3,3,4,4,Not sharing private information like account numbers or other identification., ,2,3,3,3,3,3,3,3,3,3,3,3,None., , , ,3,3,3,3,3,3,3,3,3,3, , ,1,1,2,2,2,2,2,2, , ,3,3,29,1,12,4,5,2,0,2,1,13,6,1,1,0,0,0,0,2,2
205,.3009,1,1,1,3,1,1,4,3,1,3,1,2,2,1,1,3, ,99, ,2,2,2,2,2,4, ,99, , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,3, ,99,4,3,50,3,9,2,4,2,1,7,1,6,3,0,1,0,2,3,0,2,1
206,.3428,99, ,1,1,2,1,3,1,2,1,1,1,2,1,1,1,"The government will use the collected data to blackmail, exploit, and condemn innocent citizens and also to infringe upon  our freedom of speech .", ,2,2,1,1,1,1,1,I am so dissatisfied with the gov't and I am not afraid to freely express my thoughts electronically. I would not be at all surprised that the gov't would intercept my communications and punish me by denying me gov't subsidies or other benefits or deny me job opportunities as a result., ,1,1,1,1,1,1,1,Use more security software and hardware to deter gov't spying, ,1,1,1,1,1,1,1,1,1,1,1,1,Found other means to disseminate information, ,To allow people to combat corrupt gov't practices which are injuring the livelihood of hard working honest citizens., ,1,1,1,1,1,1,1,1,1,1,I will do anything necessary to protect myself from gov't corruption., ,1,2,2,2,2,2,2,1, , ,2,3,45,3,12,4,1,2,1,3,3,7,3,1,2,0,0,1,0,2,2
208,.4176,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,3,I don't care, ,2,2,3,3,3,3,3, , ,4,4,4,4,4,4,4, , ,2,3,3,3,3,3,3,3,3,3,3,3, ,99, , ,3,3,3,3,3,3,3,3,3,3, , ,2,2,2,2,2,2,2,2, , ,3,3,32,2,14,4,1,1,1,2,3,8,5,1,1,0,0,0,0,2,4
210,3.5797,4,4,1,3,6,6, ,1,1,1,2,2,2,2,2,1,I believe that the personal data and electronic communications of the American people will be saved by the government and used against them., ,2,2,5,1,1,5,1,I am concerned about the government saving my sensitive information and the possibility of security breaches., ,5,1,5,3,5,5,2,I stopped sending sensitive information through my email messages because that information can be seen by others., ,2,4,4,4,4,3,3,4,4,1,3,1,I haven't made any other changes., ,I want to keep my sensitive information private., ,1,2,4,1,3,4,5,4,5,3,It is important for me to use these tools and strategies to keep my information private., ,1,2,1,1,1,2,2,3, ,2,3,2,22,1,9,2,2,2,0,3,3,12,5,1,2,0,0,0,0,3,7
211,.8686,1,1,1,1,4,1,2,1,1,1,1,2,2,1,1,1,Unless people are suspected of being involved in crimes or terrorist activities they shouldn't be monitored, ,2,2,1,2,2,3,2,I don't think it is their business what I am doing as long as I am obeying the law.  I'm afraid the government will use data against people with opposed political or social views than those in power, ,2,2,5,3,3,4,2,I often think about it and avoid controversial things, ,3,1,3,1,1,3,3,3,3,3,1,1,Not really, , ,99,3,3,3,3,3,3,1,3,3,3,I don't think it will make much of a difference, ,1,1,2,1,1,2,2,1, , ,1,3,33,2,13,4,1,1,1,5,1,13,1,1,1,1,2,0,0,2,1
212,.9105,1,1,1,2,6,1,3,1,1,2,1,1,1,1,1,3,"If the govt misuses the ability, and the method of HOW/WHAT was monitored was released, persons that do illegal things would find other ways to get around it.  The lawyers seem to find something to pick at and make a HUGE media issue of it just to get popular or money, the real issues just get buried in all the hype and the real criminals get away or slide out in the chaos.  So if the Govt decided to monitor, they might as well do it and get the results by catching the bad guy and making that front page news.", ,2,2,3,3,3,3,3, , ,5,4,4,4,4,4,4, , ,2,4,4,4,4,3,3,3,3,3,3,3, ,99, , ,3,3,3,3,3,4,5,5,4,3, , ,1,1,1,1,1,1,1,3, ,1,2,3,38,2,11,3,3,1,0,2,3,16,6,1,2,0,0,0,0,2,1
213,1.3221,1,3,2,3,6,4,3,4,1,2,1,1,2,1,1,2, ,99,1,2,4,4,3,4,2, ,99,5,4,4,4,4,4,4, , ,3,4,3,3,3,3,3,3,3,3,3,3, ,99, , ,3,4,3,3,4,4,3,3,3,3, , ,1,2,2,1,1,1,1,2, , ,4,2,51,3,10,3,1,1,0,5,1,15,1,1,1,0,0,0,0,5,1
214,.1586,3,88,2,2,6,6, ,3,1,1,1,2,2,1,1,1,The government collects to much private information that has nothing to do with the security of the country and this information may be accessible to hackers and others who could use it for bad purposes., ,2,2,5,1,1,5,1,Information about paying your bills and bank records are not supposed to be monitored without search warrants and the government pretty much does what it wants.  Any communications between American citizens who are not suspected of terrorist activity should never be messed with., ,5,2,5,2,5,5,2,"E-mails listed as spam or from addresses that are unknown are automaeically deleted, because they carry viruses.", ,3,4,4,4,4,1,1,4,4,3,1,1, ,99,I prefer in person communications as much as possible.  I only use the internet once a day to check e-mail and sports scores., ,4,4,5,1,3,4,5,4,4,4, ,99,1,2,1,1,1,2,2,2, , ,3,2,59,3,12,4,5,1,1,3,1,11,5,1,2,0,0,0,0,3,4
215,1.2072,1,1,1,4,2,1,2,4,1,4,1,2,2,2,2,4,None, , ,1,5,3,5,5,5, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,1,1,1,2,3, ,1,3,99,31,2,7,1,4,1,0,4,1,1,1,0,3,0,1,1,0,2,1
218,1.3929,1,1,1,3,6,4,2,2,2,2,1,1,1,1,1,3, ,99,1,1,4,4,2,2,2, ,99,4,4,4,4,4,4,4, , ,4,3,3,3,3,3,3,3,3,3,3,3, ,99, , ,3,4,4,3,4,4,5,4,4,3, , ,1,1,1,1,1,1,1,4,dont know,2,3,3,55,3,9,2,1,2,0,2,1,14,6,1,1,0,0,0,0,2,1
219,.3863,1,1,1,1,2,1,2,3,1,2,1,1,1,1,1,2,As long as the surveillance of any kinds are for the purpose of the safety of the American citizen would acceptable., ,1,1,2,2,3,3,3,"If I have nothing to hide why would I concerning,  as long as for the safety of the American people.", ,4,4,4,4,4,4,4, , ,1,3,3,3,3,3,3,3,3,3,3,3,As I said I have nothing to hide and for the safety of American I would give up some of my privacy., , , ,3,3,3,3,3,3,3,3,3,3, , ,1,1,1,1,1,1,1,3, ,1,2,1,47,3,10,3,3,1,1,6,1,17,1,1,1,0,0,1,0,5,1
222,.9714,1,3,1,1,4,1,3,1,2,2,1,1,1,1,1,3, ,99,1,1,4,4,4,4,4, , ,4,4,4,4,4,4,4, , ,2,3,3,3,3,3,3,3,3,3,2,3, ,99, ,99,3,4,3,3,4,3,3,4,4,3, , ,1,1,1,1,1,1,1,3, ,99,3,3,38,2,12,4,3,2,1,4,3,16,1,1,2,0,0,2,0,2,4
223,2.0054,4,5,5,2,2,6, ,5,1,2,1,1,1,1,1,3,"If I have nothing to hide , I have no concern", ,2,2,4,5,3,4,4, , ,4,5,3,3,5,5,4,I haven't changed., ,3,4,4,3,4,1,3,4,4,4,4,3, ,99,I haven't, ,5,5,5,5,5,5,5,5,5,5, , ,1,2,1,1,1,1,1,1, , ,1,3,84,4,9,2,1,2,1,1,3,4,2,0,2,0,0,0,0,1,5
226,2.5128,1,4,6,6,2,6, ,5,2,1,1,1,1,1,1,4,im not concerned I have nothing to hide, ,1,1,4,4,4,5,4, , ,4,4,4,4,5,5,4, , ,2,3,3,3,3,3,3,4,4,3,3,3,no changes, , , ,2,4,4,5,4,4,3,4,4,4,thought about it and decided not to do it because it wasn't nessecary, ,1,1,1,1,1,1,1,2, , ,5,2,51,3,9,2,1,1,0,3,1,11,5,1,1,0,0,0,0,3,6
227,1.3803,1,1,6,2,6,6, ,4,1,1,1,2,2,2,2,1,"Supposedly we are protected by our constitution. Too many individuals have found reasons to go around those rights and are abusing the ""reasons"". We can't even joke around without someone taking offense or using it as an excuse to go too far.", ,2,2,5,2,1,5,2,I have not had any problems with the government. But too many others have., ,5,2,3,5,3,5,2,I don't use social media. Went on Facebook in March. Have only been on once since., ,1,3,2,1,2,2,3,4,4,3,3,3, ,99,I think spending so much time telling everyone about your every move is dangerous and dumb and boring. TGhat's why I don't use social media., ,2,2,2,2,4,4,5,4,4,4, ,99,1,2,2,1,1,2,1,3, ,1,2,1,66,4,10,3,1,2,1,2,3,13,1,1,1,0,0,0,0,2,1
229,.5557,6, ,1,2,6,6, ,4,1,2,1,1,2,2,1,2,I enjoy my privacy., ,1,1,5,4,5,5,4, , ,5,4,4,5,5,5,4, , ,3,4,4,4,4,3,3,3,3,3,3,3,I have made no changes in my phone and internet use., , , ,3,4,5,3,3,4,5,3,4,3, , ,2,1,1,1,1,2,1,1, , ,3,3,59,3,9,2,1,1,1,1,1,4,5,1,1,0,0,0,0,1,4
230,.8392,1,1,1,1,6,6, ,2,1,4,1,2,2,1,1,2, ,99, ,2,4,1,3,3,3, ,99, , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,2,2,2,2,2, , ,3,2,51,3,6,1,1,2,1,1,3,2,3,1,2,0,0,0,0,1,6
232,2.4977,4,6,1,3,1,6, ,2,1,2,1,1,1,1,1,4,I am not concern I don't have nothing to hide, ,1,1,3,3,3,5,3, , ,4,4,4,4,4,5,4, , ,3,3,3,3,3,3,3,4,4,3,3,3, ,99, , ,3,4,99,3,4,3,3,4,4,3, , ,1,1,1,1,1,1,1,2, , ,3,2,61,4,6,1,1,1,1,1,4,6,5,1,1,0,0,0,0,1,6
233,.3636,3,6,1,1,3,3,1,1,1,1,1,1,2,2,1,1,"Its one of the requirements for an effective totalitarian state.  It allows collection of data that is then grouped into ""good"" or ""bad,"" according to the values of the political party in power.  Does no one remember Orwell's ""1984"" ??", ,2,2,1,1,1,1,1,"See previous comments.  I'm not so much concerned over MY communications, but rather that I'm part of the aggregate of what SHOULD be a free people, being subjected to governmental ""oversight.""  The sad fact is, government CAN'T protect us from all dangers.  The government should know that.  Its just an excuse to get the nose of the camel into the tent.", ,4,4,4,4,5,4,4, , ,2,3,3,3,3,3,3,3,3,3,3,3,"I've learned to distrust the American government even more.  Government can now be bought and sold, like any other commodity.  Surveillance of the type you're asking about just makes it easier for government to be an effective whore.", , , ,3,3,3,3,3,3,3,3,3,3, , ,2,2,2,2,2,2,2,4,skeptically Independent,99,4,2,66,4,12,4,1,1,1,2,1,15,1,1,1,0,0,0,0,2,5
234,.3917,6, ,1,2,1,6, ,3,2,2,1,2,2,1,2,1,we as americans should have privacy., ,2,2,2,2,5,5,2,personally I have nothing to hide but if they are monitoring my e-mail they are wasting tax payer money.  plus what I send to my friends and family is none of their business., ,3,3,3,5,5,5,3, ,99,3,1,3,2,2,3,2,3,2,4,2,1, ,99, ,99,4,4,5,1,4,4,2,4,4,4, ,99,1,2,2,1,1,2,2,3, ,1,3,3,51,3,9,2,1,2,1,3,1,13,1,1,1,0,0,1,0,2,7
235,2.0861,5,6,2,1,6,6, ,3,1,2,1,2,2,2,2,1,THEY NEED TO SHOW CAUSE AND GET A COURT ORDER, ,2,1,1,1,1,5,1,NO problem if it's court ordered, ,5,3,4,4,5,5,4,I haven't, ,3,4,4,4,4,3,3,4,4,3,3,3,Haven't, , , ,4,4,4,3,4,4,5,4,4,3, , ,1,1,1,1,1,2,2,3, ,1,2,3,73,4,10,3,1,1,1,1,2,15,5,1,1,0,0,0,0,1,5
236,1.8356,1,1,1,2,1,1,3,1,1,2,1,2,2,2,2,2,Privacy, ,1,1,3,3,3,3,3, , ,3,4,5,3,4,4,4,protect my privacy, ,2,3,3,2,2,3,1,3,1,4,2,2, ,99,my privacy, ,4,4,4,1,4,4,1,4,4,4,protect my privacy, ,1,1,1,1,1,2,2,4,no preference,99,3,3,23,1,10,3,3,1,0,3,1,16,5,1,2,0,0,0,0,3,4
237,.4694,1,3,1,1,3,1,1,1,1,2,1,1,1,1,1,2, ,99,2,1,3,3,2,2,3,"I'm more concerned about the government having access to or monitoring my banking, saving and other financial data.   My internet use is pretty basic and boring so monitoring what I do there (with the exception of banking/financial transactions) concerns me very little.", ,4,3,4,3,4,2,3,"Hearing about things on the news, such as a bombing or what type of terrorist 'training' is on the internet, I might be curious to see for myself .. however I would not given that the government monitoring outweighs my curiosity.", ,2,3,3,3,3,3,3,3,3,3,2,3, ,99,It isn't so much that I changed my behaviors or activities but more that I was more aware of the fact monitoring is happening which makes me more conscious when I consider internet searching for curiosity purposes., ,3,3,3,1,3,3,3,4,3,3,"I have employed stronger passwords, not because of government monitoring but more because of the recent retailer hacks.  I'm more afraid of cyber-crime/identity theft than government monitoring.", ,1,2,1,1,1,1,1,3, ,2,4,3,48,3,12,4,1,1,1,2,1,17,6,1,1,0,0,0,0,2,1
239,1.3137,3,3,2,2,2,1,3,1,1,3,1,1,1,1,1,2, ,99, ,2,2,2,2,2,2, ,99, , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,3, ,1,3,3,60,4,8,1,1,2,1,3,1,15,1,1,1,0,0,0,0,3,5
240,2.2704,1,1,1,1,1,2,3,2,2,2,1,1,1,1,1,3,Terrorism is way more concerning, ,2,1,2,2,1,2,1,big brother, ,3,3,3,3,3,3,3,I am not doing anything to worry about, ,2,3,3,3,3,3,2,3,3,3,2,3,none, ,no, ,4,3,4,1,4,4,3,4,4,4,no, ,1,1,1,1,1,1,1,3, ,1,3,2,21,1,10,3,1,2,0,6,1,17,6,1,1,1,0,0,0,5,1
243,.5301,1,1,1,1,1,1,3,1,2,2,1,1,1,1,1,3,"We figure if a person does not have something to hide, then the person shouldn't be concerned if he/she is being monitored.", ,1,1,4,4,4,4,4, , ,4,4,4,4,4,4,4, , ,2,3,3,3,3,3,3,3,3,3,3,3, ,99, , ,3,4,4,3,4,3,3,3,3,3, , ,1,1,1,1,1,1,1,2, , ,3,2,67,4,13,4,1,2,1,2,1,16,1,1,1,0,0,0,0,2,1
244,.1814,1,3,6,2,6,6, ,3,2,1,1,1,1,1,1,3, ,99,1,99,4,4,4,4,4, , ,4,4,5,4,4,4,4, , ,4,3,3,3,3,3,3,3,3,3,3,3,I would not put anything on the internet I would not say in person directly to that person.  the internet is a public domain., , , ,3,3,3,3,3,3,3,3,3,3, , ,1,1,1,1,1,1,1,4,libertarian,1,3,1,68,4,12,4,1,1,1,2,1,16,6,0,1,0,0,0,0,2,1
246,.5028,1,1,1,1,1,3,4,2,1,2,1,1,2,2,1,4,I personally have nothing to hide and don't care who monitors my communications, ,2,2,4,4,4,4,4, , ,4,4,4,4,4,4,4, , ,2,3,3,3,3,3,3,3,3,3,3,3,None, , , ,3,3,3,3,3,3,3,3,3,3, , ,1,2,2,1,1,2,2,3, ,1,2,1,62,4,12,4,1,1,0,3,1,4,2,1,1,0,0,0,1,2,2
247,.105,1,2,1,1,4,2,1,1,1,2,1,99,2,1,1,2,"I don't think the government should have this much authority to invade the privacy of its citizens.  It seems to violate our First Amendment rights.  I realize it comes at the potential risk of our safety, but it makes me uneasy.  On the other hand, if I knew how many potential terrorist plans the government has thwarted as a result, I might be more accepting.  I feel I don't have enough information to make an informed decision.", ,1,1,4,3,3,3,3, , ,4,3,4,4,4,4,4,"I actually haven't changed anything, at least consciously.  I forget that I might be monitored, to be honest.", ,3,3,3,3,3,3,3,3,3,3,3,3,Not that I can think of., , , ,3,4,4,3,4,4,3,4,3,3, , ,1,1,1,1,1,1,2,2, , ,4,2,34,2,14,4,5,2,1,2,3,16,6,1,2,0,0,0,0,2,1
251,.4315,1,1,2,1,3,2,2,2,2,2,1,1,1,1,1,4,This monitoring keeps America safe, ,1,1,4,4,4,4,4, , ,4,4,4,4,4,4,4, , ,4,3,3,3,3,3,3,3,3,3,3,3,Nothing to hide, , , ,3,4,4,3,4,4,3,4,4,3, , ,1,1,1,1,1,1,1,2, , ,3,3,54,3,12,4,1,2,1,4,1,16,1,1,1,0,0,0,2,2,1
252,.5787,4,4,3,3,4,6, ,4,1,2,1,1,1,1,1,2,There are situations where oversite is desirable.  My concern is more regarding the education level and perceptions of the persons observing and interpreting the data that is being monitored.  Misconception is always a problem when determining an actual threat., ,2,2,3,3,3,5,3, , ,4,4,4,4,4,5,4, , ,3,3,3,3,3,3,3,4,4,3,3,3,An honest person who perceives themselves as having no guilt and nothing to hide should not be concerned in this regard., , , ,3,3,3,1,3,3,3,3,3,3, ,99,1,1,1,1,1,1,1,1, , ,3,3,64,4,9,2,1,2,1,2,1,12,1,1,1,0,0,0,0,2,5
254,1.6842,1,1,1,1,3,2,1,1,1,2,1,1,1,1,1,3,They are going to do it whether we know it or not. I have nothing to hide from them so it doesn't bother me., ,2,1,4,4,4,4,4, , ,4,4,4,4,4,4,4, , ,1,3,3,3,3,3,3,3,3,3,3,3, ,99, , ,3,3,3,3,3,3,3,3,3,3, , ,1,1,1,1,1,1,1,1, , ,3,3,34,2,9,2,1,1,1,4,4,13,6,0,1,0,0,2,0,2,1
257,.5722,1,1,1,1,3,1,2,2,1,1,1,1,1,1,1,2,Assume everything electronic is traceable. People who are overly concerned shouldn't use it., ,2,2,2,2,2,2,2,just the intrusion, ,3,2,3,3,3,2,3,intrusion, ,2,3,2,1,1,4,3,2,2,3,2,1,none, ,just for less reliance on electronic communication, ,1,2,1,1,2,3,1,3,1,1,just to be aware of how to use them, ,1,2,1,2,1,2,2,3, ,1,3,1,53,3,10,3,1,1,1,4,1,12,1,1,1,0,0,0,1,3,1
258,1.6336,6, ,3,4,6,6, ,5,1,1,2,2,2,2,1,1,Is actually ooccurring, ,2,2,2,2,5,5,2,"Government intrusion on rights to assemble, criticize the govt and belong to parties wanting to change the goverment policies", ,5,3,3,5,5,5,3,Little can be done to stop it, ,3,4,4,4,4,2,1,4,4,3,2,1, ,99, ,99,1,2,5,1,3,2,5,4,4,3,Less ability for government to get information, ,2,2,2,2,2,2,2,2, , ,3,1,86,4,10,3,1,1,1,2,1,14,2,1,1,0,0,0,0,2,5
260,.5841,4,6,1,3,1,2,1,2,1,1,1,1,1,1,1,3,The average citizen need to not be concerned about the govt. monitoring their conversations., ,1,1,3,3,3,3,4, , ,4,4,4,4,5,4,4, , ,3,3,3,3,3,3,3,3,3,3,3,3,None., , , ,3,3,3,3,3,4,3,4,4,3, , ,1,1,1,1,1,1,1,3, ,1,2,3,78,4,10,3,1,1,1,2,1,17,1,1,1,0,0,0,0,2,5
263,.8368,2,6,6,6,6,6, ,6,2,2,1,1,2,1,1,3, ,99,2,1,5,5,4,4,4, , ,4,4,4,4,4,4,4, , ,3,4,4,4,4,4,4,4,4,4,4,4, ,99, , ,4,4,4,4,4,4,4,4,4,4, , ,2,2,2,2,2,2,2,3, ,99,3,3,52,3,9,2,1,1,0,4,3,12,1,1,2,0,0,1,1,2,4
264,3.5797,2,4,6,6,6,6, ,6,1,2,2,1,2,1,1,2,I do not know how that data will be use and for what?, ,2,2,1,1,1,1,1,Do not want anyone to interfere with privacy., ,3,3,3,3,3,3,3,no, ,4,3,3,3,3,3,3,3,3,3,3,3,no, , , ,4,4,4,4,4,4,4,4,4,4, , ,1,1,1,1,1,1,1,3, ,2,3,1,72,4,13,4,3,1,1,2,1,16,1,1,1,0,0,0,0,2,5
268,.863,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,2,Understand the potential benefits but it's a slippery slope of who and what communications are monitored., ,1,1,4,4,4,4,4, , ,4,4,4,4,4,4,4, , ,3,3,3,3,3,3,3,3,3,3,3,3,N/a, , , ,3,4,3,2,4,4,3,4,4,3, ,99,1,1,1,2,1,1,2,2, , ,4,2,39,2,14,4,1,2,1,4,1,16,1,1,1,0,1,1,0,2,1
269,1.3602,1,2,1,1,1,2,3,1,1,2,1,1,2,2,2,2, ,99,2,2,2,2,2,2,2, ,99,4,4,4,4,4,4,4, , ,2,3,3,3,3,3,3,3,3,3,3,3, ,99, , ,3,3,3,3,3,3,3,3,4,3, , ,2,2,1,2,1,2,2,3, ,1,2,1,29,1,12,4,1,2,1,2,1,17,1,1,1,0,0,0,0,2,1
271,.4507,6, ,1,1,6,6, ,1,1,2,1,1,2,2,1,2,most things when taken out of context get blown out of preportion, ,2,2,5,3,5,5,4, , ,5,1,3,5,5,5,2, ,99,1,4,4,4,4,1,1,4,4,1,1,1, ,99, ,99,1,1,5,1,1,1,5,1,1,1, ,99,1,1,2,1,1,2,2,3, ,1,3,3,30,2,10,3,1,1,0,4,1,9,5,1,3,0,0,0,0,4,4
273,.1547,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,3,The vast amount of information involved muddled the individual exposure.  No issue, ,1,1,3,3,3,3,3, , ,4,4,4,4,4,4,4, , ,3,3,3,3,3,3,3,3,3,3,3,3,Life as usual, , , ,3,3,3,3,3,3,3,3,3,3, , ,1,1,1,1,1,1,1,1, , ,2,3,58,3,11,3,5,1,1,4,1,15,1,1,1,0,0,0,1,3,5
